Event,Gender,Class,Gold_Country,Silver_Country,Bronze_Country,Score
Snowboarding,Womens,Cross,France,Canada,United States,0
Snowboarding,Womens,Halfpipe,United States,Japan,China,4
Snowboarding,Womens,Slopestyle,United States,Canada,Switzerland,
Snowboarding,Womens,Big Air,Japan,United States,Canada,4
Snowboarding,Mixed,Team Cross,United States,Canada,France,4
Speed Skating,Mens,500m,Netherlands,Canada,China,4
Speed Skating,Mens,1000m,Netherlands,Canada,China,6
Speed Skating,Mens,1500m,Netherlands,Canada,China,4
Speed Skating,Mens,5000m,Netherlands,Canada,China,0
Speed Skating,Mens,10000m,Netherlands,Canada,China,2
Speed Skating,Mens,Mass Start,Netherlands,Canada,China,
Speed Skating,Mens,Team Pursuit,Netherlands,Canada,China,
Speed Skating,Womens,500m,Netherlands,Canada,China,4
Speed Skating,Womens,1000m,Netherlands,Canada,China,4
Speed Skating,Womens,1500m,Netherlands,Canada,China,
Speed Skating,Womens,3000m,Jamacia,Jamacia,Jamacia,0
Speed Skating,Womens,5000m,Netherlands,Canada,China,2
Speed Skating,Womens,Mass Start,Netherlands,Canada,China,
Speed Skating,Womens,Team Pursuit,Netherlands,Canada,China,
