Chip: Scored 8 from [biathalon, womens, 7.5km sprint]: G/Norway/Norway(4), S/France/France(4), B/France/Germany(0), BONUS(0)
Chip: Scored 2 from [cross country skiing, womens, 4x7.5km relay]: G/Norway/Sweden(2), S/Sweden/Canada(0), B/Finland/United States(0), BONUS(0)
Chip: Scored 0 from [freestyle skiing, womens, dual moguls]: G/Australia/Switzerland(0), S/United States/China(0), B/United States/Great Britain(0), BONUS(0)
Chip: Scored 0 from [skeleton, womens, singles]: G/Slovenia/Germany(0), S/Japan/Great Britain(0), B/Poland/Canada(0), BONUS(0)
Chip: Scored 4 from [speed skating, mens, 500m]: G/United States/Canada(2), S/Netherlands/United States(2), B/Canada/Italy(0), BONUS(0)
Chip: Scored 0 from [speed skating, mens, 1500m]: G/Netherlands/Germany(0), S/South Korea/United States(0), B/Latvia/China(0), BONUS(0)
Will: Scored 4 from [alpine skiing, mens, giant slalom]: G/Brazil/Norway(0), S/Switzerland/Switzerland(4), B/Switzerland/Sweden(0), BONUS(0)
Will: Scored 4 from [biathalon, womens, 7.5km sprint]: G/Norway/Norway(4), S/France/Sweden(0), B/France/Germany(0), BONUS(0)
Will: Scored 8 from [cross country skiing, womens, 4x7.5km relay]: G/Norway/Norway(4), S/Sweden/Sweden(4), B/Finland/Germany(0), BONUS(0)
Will: Scored 4 from [freestyle skiing, womens, dual moguls]: G/Australia/China(0), S/United States/France(0), B/United States/United States(4), BONUS(0)
Will: Scored 0 from [skeleton, womens, singles]: G/Slovenia/Germany(0), S/Japan/Jamacia(0), B/Poland/Jamacia(0), BONUS(0)
Will: Scored 4 from [speed skating, mens, 500m]: G/United States/Sweden(0), S/Netherlands/Netherlands(4), B/Canada/Denmark(0), BONUS(0)
Will: Scored 0 from [speed skating, mens, 1500m]: G/Netherlands/Sweden(0), S/South Korea/Finland(0), B/Latvia/Norway(0), BONUS(0)

