Full scoring log, read results/guess/points as: MEDAL/RESULT/GUESS(POINTS)
Chip: Scored 4 from [biathalon, womens, 15km individual]: G/France/Norway(0), S/France/France(4), B/Bulgaria/Germany(0), BONUS(0)
Chip: Scored 4 from [figure skating, mixed, ice dance]: G/France/United States(2), S/United States/Canada(2), B/Canada/Italy(0), BONUS(0)
Chip: Scored 6 from [luge, mens, doubles]: G/Italy/Austria(2), S/Austria/Germany(2), B/Germany/Italy(2), BONUS(0)
Chip: Scored 8 from [luge, womens, doubles]: G/Italy/Austria(2), S/Germany/Germany(4), B/Austria/Italy(2), BONUS(0)
Chip: Scored 8 from [nordic combined, mens, individual normal hill]: G/Norway/Norway(4), S/Austria/Austria(4), B/Finland/Germany(0), BONUS(0)
Chip: Scored 8 from [speed skating, mens, 1000m]: G/United States/United States(4), S/Netherlands/Canada(0), B/China/China(4), BONUS(0)
Will: Scored 2 from [alpine skiing, mens, super-g]: G/Switzerland/Norway(0), S/United States/Switzerland(2), B/Switzerland/Sweden(0), BONUS(0)
Will: Scored 6 from [figure skating, mixed, ice dance]: G/France/Japan(0), S/United States/United States(4), B/Canada/France(2), BONUS(0)
Will: Scored 2 from [freestyle skiing, womens, moguls]: G/United States/Switzerland(0), S/United States/France(2), B/France/China(0), BONUS(0)
Will: Scored 2 from [luge, mens, doubles]: G/Italy/Germany(2), S/Austria/Canada(0), B/Germany/Sweden(0), BONUS(0)
Will: Scored 4 from [luge, womens, doubles]: G/Italy/United States(0), S/Germany/Germany(4), B/Austria/Canada(0), BONUS(0)
Will: Scored 6 from [nordic combined, mens, individual normal hill]: G/Norway/Norway(4), S/Austria/Germany(0), B/Finland/Austria(2), BONUS(0)
Will: Scored 2 from [speed skating, mens, 1000m]: G/United States/Sweden(0), S/Netherlands/Denmark(0), B/China/Netherlands(2), BONUS(0)

