Event,Gender,Class,Gold_Country,Silver_Country,Bronze_Country,Score
Snowboarding,Womens,Halfpipe,United States,Japan,Japan,6
Snowboarding,Womens,Slopestyle,Great Britain,Japan,Austria,
Snowboarding,Womens,Big Air,Japan,Japan,New Zealand,6
Snowboarding,Mixed,Team Cross,Canada,Austria,Italy,
Speed Skating,Mens,500m,United States,Netherlands,Poland,8
Speed Skating,Mens,1000m,United States,Netherlands,Poland,8
Speed Skating,Mens,1500m,United States,Netherlands,Poland,2
Speed Skating,Mens,5000m,United States,Norway,Netherlands,2
Speed Skating,Mens,10000m,United States,Norway,Netherlands,4
Speed Skating,Mens,Mass Start,United States,Netherlands,Netherlands,
Speed Skating,Mens,Team Pursuit,United States,Norway,Poland,
Speed Skating,Womens,500m,Netherlands,Netherlands,Netherlands,
Speed Skating,Womens,1000m,Netherlands,Netherlands,Netherlands,8
Speed Skating,Womens,1500m,Netherlands,Netherlands,Netherlands,
Speed Skating,Womens,3000m,Netherlands,Netherlands,Netherlands,0
Speed Skating,Womens,5000m,Netherlands,Netherlands,Netherlands,4
Speed Skating,Womens,Mass Start,Netherlands,Netherlands,Netherlands,
Speed Skating,Womens,Team Pursuit,Netherlands,United States,Norway,
