Event,Gender,Class,Gold_Country,Silver_Country,Bronze_Country,Score
Snowboarding,Womens,Halfpipe,United States,Japan,Switzerland,
Snowboarding,Womens,Slopestyle,New Zealand,Japan,United States,
Snowboarding,Womens,Big Air,New Zealand,Japan,Austria,4
Snowboarding,Mixed,Team Cross,United States,Italy,Canada,
Speed Skating,Mens,500m,Netherlands,Japan,China,
Speed Skating,Mens,1000m,Netherlands,Japan,Belgium,
Speed Skating,Mens,1500m,Netherlands,South Korea,Japan,
Speed Skating,Mens,5000m,Netherlands,Norway,Sweden,2
Speed Skating,Mens,10000m,Netherlands,Sweden,Norway,
Speed Skating,Mens,Mass Start,Netherlands,Belgium,South Korea,
Speed Skating,Mens,Team Pursuit,Netherlands,Norway,United States,
Speed Skating,Womens,500m,Japan,Netherlands,United States,
Speed Skating,Womens,1000m,Netherlands,Japan,United States,6
Speed Skating,Womens,1500m,Netherlands,Japan,Canada,
Speed Skating,Womens,3000m,Netherlands,Canada,Japan,2
Speed Skating,Womens,5000m,Netherlands,Canada,Japan,
Speed Skating,Womens,Mass Start,Netherlands,Canada,Japan,
Speed Skating,Womens,Team Pursuit,Netherlands,Japan,Canada,
