Event,Gender,Class,Gold_Country,Silver_Country,Bronze_Country,Score
Snowboarding,Mens,Halfpipe,United States,Canada,Japan,4
Snowboarding,Mens,Slopestyle,United States,Canada,Japan,4
Snowboarding,Mens,Big Air,United States,Canada,Japan,2
Snowboarding,Womens,Parallel Giant Slalom,United States,Canada,Japan,0
Snowboarding,Womens,Cross,United States,Canada,Japan,0
Snowboarding,Womens,Halfpipe,United States,Canada,Japan,6
Snowboarding,Womens,Slopestyle,United States,Canada,Japan,4
Snowboarding,Womens,Big Air,United States,Canada,Japan,2
Snowboarding,Mixed,Team Cross,United States,Canada,Japan,0
Speed Skating,Mens,500m,Canada,United States,China,4
Speed Skating,Mens,1000m,Canada,United States,China,6
Speed Skating,Mens,1500m,Canada,United States,China,0
Speed Skating,Mens,5000m,Canada,United States,China,0
Speed Skating,Mens,10000m,Canada,United States,China,0
Speed Skating,Mens,Mass Start,Canada,United States,China,
Speed Skating,Mens,Team Pursuit,Canada,United States,China,8
Speed Skating,Womens,500m,Canada,United States,China,0
Speed Skating,Womens,1000m,Canada,United States,China,0
Speed Skating,Womens,1500m,Canada,United States,China,
Speed Skating,Womens,3000m,Canada,United States,China,2
Speed Skating,Womens,5000m,Canada,United States,China,0
Speed Skating,Womens,Mass Start,Canada,United States,China,
Speed Skating,Womens,Team Pursuit,Canada,United States,Venezuela,4
