Event,Gender,Class,Gold_Country,Silver_Country,Bronze_Country,Score
Alpine Skiing,Mens,Downhill,United States,Canada,Sweden,0
Alpine Skiing,Mens,Super-G,Canada,United States,Austria,
Alpine Skiing,Mens,Giant Slalom,Canada,United States,Austria,
Alpine Skiing,Mens,Slalom,Canada,Denmark,United States,
Alpine Skiing,Mens,Team Combined,Canada,United States,Sweden,
Alpine Skiing,Womens,Downhill,Sweden,Canada,Sweden,
Alpine Skiing,Womens,Super-G,Canada,United States,Sweden,
Alpine Skiing,Womens,Giant Slalom,United States,Canada,Sweden,
Alpine Skiing,Womens,Slalom,United States,Canada,Sweden,
Alpine Skiing,Womens,Team Combined,United States,Canada,Finland,
Biathalon,Mixed,4x6km Relay,United States,Canada,Finland,
Biathalon,Mens,20km Individual,United States,Canada,Finland,
Biathalon,Womens,15km Individual,United States,Canada,Finland,
Biathalon,Mens,10km Sprint,United States,Canada,Finland,
Biathalon,Womens,7.5km Sprint,United States,Canada,Finland,
Biathalon,Mens,12.5km Pursuit,United States,Canada,Finland,
Biathalon,Womens,10km Pursuit,United States,Canada,Finland,
Biathalon,Mens,4x7.5km Relay,United States,Canada,Finland,
Biathalon,Womens,4x6km Relay,United States,Canada,Finland,
Biathalon,Mens,15km Mass Start,United States,Canada,Finland,
Biathalon,Womens,12.5km Mass Start,United States,Canada,Finland,
Bobsleigh,Mens,4 person,Jamacia,Estonia,Bosnia and Herzegovina,
Bobsleigh,Mens,2 person,Jamacia,Estonia,Bosnia and Herzegovina,
Bobsleigh,Womens,2 person,Jamacia,Estonia,Bosnia and Herzegovina,
Bobsleigh,Womens,Monobob,Jamacia,Estonia,Bosnia and Herzegovina,
Cross Country Skiing,Womens,10km + 10km Skiathlon,Norway,Canada,Denmark,2
Cross Country Skiing,Mens,10km + 10km Skiathlon,Norway,Canada,Denmark,
Cross Country Skiing,Womens,Sprint Classic,Norway,Canada,Denmark,
Cross Country Skiing,Mens,Sprint Classic,Norway,Canada,Denmark,
